game_id,league,date,home,away,home_score,away_score,neutral,home_ml,away_ml,spread,home_spread_price,away_spread_price,total,over_price,under_price,extras
NFL-20250111-PIT-BAL-20,NFL,2025-01-12T01:00:00,BAL,PIT,28,14,0,,,,,,,,,
NFL-20250112-DEN-BUF-13,NFL,2025-01-12T18:00:00,BUF,DEN,31,7,0,,,,,,,,,
NFL-20250112-GB-PHI-16,NFL,2025-01-12T21:30:00,PHI,GB,22,10,0,,,,,,,,,
NFL-20250112-WSH-TB-20,NFL,2025-01-13T01:00:00,TB,WSH,20,23,0,,,,,,,,,
NFL-20250113-MIN-LAR-20,NFL,2025-01-14T01:00:00,LAR,MIN,27,9,0,,,,,,,,,"{""indoor"": true}"
NFL-20250118-HOU-KC-16,NFL,2025-01-18T21:30:00,KC,HOU,23,14,0,,,,,,,,,
NFL-20250118-WSH-DET-20,NFL,2025-01-19T01:00:00,DET,WSH,31,45,0,,,,,,,,,"{""indoor"": true}"
NFL-20250119-LAR-PHI-15,NFL,2025-01-19T20:00:00,PHI,LAR,28,22,0,,,,,,,,,
NFL-20250119-BAL-BUF-18,NFL,2025-01-19T23:30:00,BUF,BAL,27,25,0,,,,,,,,,
NFL-20250126-WSH-PHI-15,NFL,2025-01-26T20:00:00,PHI,WSH,55,23,0,,,,,,,,,
NFL-20250126-BUF-KC-18,NFL,2025-01-26T23:30:00,KC,BUF,32,29,0,,,,,,,,,
NFL-20250209-KC-PHI-18,NFL,2025-02-09T23:30:00,PHI,KC,40,22,1,,,,,,,,,"{""indoor"": true}"
NFL-20250904-DAL-PHI-20,NFL,2025-09-05T00:20:00,PHI,DAL,24,20,0,,,,,,,,,
NFL-20250905-KC-LAC-20,NFL,2025-09-06T00:00:00,LAC,KC,27,21,1,,,,,,,,,
NFL-20250907-TB-ATL-13,NFL,2025-09-07T17:00:00,ATL,TB,20,23,0,,,,,,,,,"{""indoor"": true}"
NFL-20250907-CIN-CLE-13,NFL,2025-09-07T17:00:00,CLE,CIN,16,17,0,,,,,,,,,
NFL-20250907-MIA-IND-13,NFL,2025-09-07T17:00:00,IND,MIA,33,8,0,,,,,,,,,"{""indoor"": true}"
NFL-20250907-LV-NE-13,NFL,2025-09-07T17:00:00,NE,LV,13,20,0,,,,,,,,,
NFL-20250907-ARI-NO-13,NFL,2025-09-07T17:00:00,NO,ARI,13,20,0,,,,,,,,,"{""indoor"": true}"
NFL-20250907-PIT-NYJ-13,NFL,2025-09-07T17:00:00,NYJ,PIT,32,34,0,,,,,,,,,
NFL-20250907-NYG-WSH-13,NFL,2025-09-07T17:00:00,WSH,NYG,21,6,0,,,,,,,,,
NFL-20250907-CAR-JAX-13,NFL,2025-09-07T17:00:00,JAX,CAR,26,10,0,,,,,,,,,
NFL-20250907-TEN-DEN-16,NFL,2025-09-07T20:05:00,DEN,TEN,20,12,0,,,,,,,,,
